scenario,density,density_veh_km_lane,weather,hazard_type,policy,slot_epochs,seed,rwcr,tir_median_s,tir_p95_s,tx_per_at_risk_informed,actionable_deadline_miss_rate,transmissions
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,1,1,0.9347209861195223,0.40000000000000036,0.7149999999999994,1.2571428571428571,0.3178807947019867,132.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,1,2,0.9047119136035224,0.3000000000000007,0.5,1.09009009009009,0.36257309941520466,121.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,1,3,0.9628109818955932,0.40000000000000036,0.6000000000000005,0.905511811023622,0.23636363636363633,115.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,1,4,0.9397862865686661,0.40000000000000036,0.6000000000000005,0.875,0.3314285714285714,105.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,1,5,0.9135456477130292,0.40000000000000036,0.6000000000000005,1.0423728813559323,0.32947976878612717,123.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,1,6,0.912752188316034,0.3000000000000007,0.5,1.0701754385964912,0.3924731182795699,122.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,1,7,0.9395392569255403,0.40000000000000036,0.6000000000000005,1.2035398230088497,0.21985815602836878,136.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,1,8,0.8758107292882087,0.3000000000000007,0.5149999999999992,1.0952380952380953,0.3892215568862275,115.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,1,9,0.9189506454853011,0.40000000000000036,0.6000000000000005,1.0263157894736843,0.26490066225165565,117.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,2,0,0.9199837185549777,0.3000000000000007,0.6000000000000005,0.9910714285714286,0.323170731707317,111.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,2,1,0.9347209861195223,0.5,0.9000000000000004,0.9523809523809523,0.3112582781456954,100.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,2,2,0.9047119136035224,0.3000000000000007,0.5,1.018018018018018,0.36257309941520466,113.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,2,3,0.9628109818955932,0.40000000000000036,0.7000000000000002,0.8740157480314961,0.23636363636363633,111.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,2,4,0.9397862865686661,0.40000000000000036,0.6000000000000005,1.0333333333333334,0.3314285714285714,124.0
