scenario,density,density_veh_km_lane,weather,hazard_type,seed,topology_split,hazard_split,weather_split,risk_est_precision,risk_est_recall,risk_est_f1,risk_peak_corr,n_at_risk_oracle,n_at_risk_causal,oracle_horizon_s,backend
rural_highway,1.0,1.0,moderate_rain,crash,5,train,train,held_out,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7230725666700646,7,6,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,crash,6,train,train,held_out,0.8,0.5,0.6153846153846154,0.6296105878125632,8,5,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,crash,7,train,train,held_out,0.875,0.6363636363636364,0.7368421052631579,0.3654127710285023,11,8,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,crash,8,train,train,held_out,1.0,0.5454545454545454,0.7058823529411764,0.7040692812453027,11,6,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,crash,9,train,train,held_out,1.0,0.5454545454545454,0.7058823529411764,0.5660191876871316,11,6,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,waterlogging,0,train,held_out,held_out,0.9166666666666666,1.0,0.9565217391304348,0.8939609349154806,11,12,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,waterlogging,1,train,held_out,held_out,0.8571428571428571,1.0,0.923076923076923,0.8238889260268495,12,14,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,waterlogging,2,train,held_out,held_out,0.8461538461538461,1.0,0.9166666666666666,0.8104599695563504,11,13,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,waterlogging,3,train,held_out,held_out,0.9166666666666666,1.0,0.9565217391304348,0.8947657084779165,11,12,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,waterlogging,4,train,held_out,held_out,0.8333333333333334,1.0,0.9090909090909091,0.8056075124652515,10,12,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,waterlogging,5,train,held_out,held_out,0.8181818181818182,1.0,0.9,0.8089647981517134,9,11,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,waterlogging,6,train,held_out,held_out,0.9090909090909091,1.0,0.9523809523809523,0.8932755825559638,10,11,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,waterlogging,7,train,held_out,held_out,0.9230769230769231,1.0,0.9600000000000001,0.8922598596261043,12,13,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,waterlogging,8,train,held_out,held_out,0.9230769230769231,1.0,0.9600000000000001,0.9102414171394047,12,13,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,waterlogging,9,train,held_out,held_out,0.9230769230769231,1.0,0.9600000000000001,0.8577860562415279,12,13,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,black_ice,0,train,held_out,held_out,0.9166666666666666,1.0,0.9565217391304348,0.8947256420875781,11,12,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,black_ice,1,train,held_out,held_out,0.8571428571428571,1.0,0.923076923076923,0.8255947353476932,12,14,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,black_ice,2,train,held_out,held_out,0.8461538461538461,1.0,0.9166666666666666,0.812516913714321,11,13,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,black_ice,3,train,held_out,held_out,0.9166666666666666,1.0,0.9565217391304348,0.8955123132315891,11,12,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,black_ice,4,train,held_out,held_out,0.8333333333333334,1.0,0.9090909090909091,0.8061919715044423,10,12,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,black_ice,5,train,held_out,held_out,0.8333333333333334,1.0,0.9090909090909091,0.8104705535178781,10,12,226.35532333438687,fallback
