scenario,density_veh_km_lane,hazard_split,weather_split,metric,n_policies,fallback_best,sumo_best,best_changed,kendall_tau,fallback_best_value,sumo_same_policy_value,sumo_best_value,flip_gain,flip_gain_rel
urban_nlos,3.0,held_out,held_out,actionable_deadline_miss_rate,9,flooding,dvcast,True,0.7777777777777778,0.13074461947347787,0.6205952312370003,0.6201517566881896,0.00044347454881077386,0.0007145954826736567
urban_nlos,3.0,held_out,train,tx_per_at_risk_informed,9,p_persistence_03,greedy_farthest,True,0.6,0.6537187163541652,inf,1.2174071160263442,inf,
urban_nlos,3.0,held_out,train,rwcr,9,flooding,flooding,False,0.5555555555555556,0.9745270505358402,0.41516050832542495,0.41516050832542495,0.0,0.0
urban_nlos,3.0,held_out,train,tir_median_s,9,p_persistence_03,p_persistence_03,False,0.5555555555555556,0.20500000000000043,0.17647058823529455,0.17647058823529455,0.0,0.0
urban_nlos,3.0,held_out,train,actionable_deadline_miss_rate,9,flooding,flooding,False,0.5555555555555556,0.07307746958902282,0.5933418843952558,0.5933418843952558,0.0,0.0
urban_nlos,3.0,train,held_out,tx_per_at_risk_informed,9,counter_based,counter_based,False,,inf,inf,inf,,
urban_nlos,3.0,train,held_out,rwcr,9,flooding,flooding,False,0.8333333333333334,0.9151055798020556,0.4038001634955331,0.4038001634955331,0.0,0.0
urban_nlos,3.0,train,held_out,tir_median_s,9,p_persistence_03,p_persistence_03,False,0.6111111111111112,0.2607843137254906,0.6790000000000005,0.6790000000000005,0.0,0.0
urban_nlos,3.0,train,held_out,actionable_deadline_miss_rate,9,flooding,dvcast,True,0.7777777777777778,0.1334391120485945,0.6225925718579055,0.6206070291518909,0.001985542706014587,0.0031891525786911378
urban_nlos,3.0,train,train,tx_per_at_risk_informed,9,p_persistence_03,dvcast,True,1.0,0.652482452173522,inf,1.3488524159433615,inf,
urban_nlos,3.0,train,train,rwcr,9,flooding,flooding,False,0.6111111111111112,0.973457041510914,0.42603312199133164,0.42603312199133164,0.0,0.0
urban_nlos,3.0,train,train,tir_median_s,9,p_persistence_03,p_persistence_03,False,0.5555555555555556,0.2050000000000004,0.642592592592593,0.642592592592593,0.0,0.0
urban_nlos,3.0,train,train,actionable_deadline_miss_rate,9,flooding,flooding,False,0.6111111111111112,0.07529119381616924,0.594684384934977,0.594684384934977,0.0,0.0
urban_nlos,5.0,held_out,held_out,tx_per_at_risk_informed,9,p_persistence_03,p_persistence_03,False,0.8333333333333334,0.6289932521022006,0.6657165033934198,0.6657165033934198,0.0,0.0
urban_nlos,5.0,held_out,held_out,rwcr,9,flooding,flooding,False,0.6111111111111112,0.9674765019783493,0.44234495497421156,0.44234495497421156,0.0,0.0
urban_nlos,5.0,held_out,held_out,tir_median_s,9,p_persistence_03,p_persistence_03,False,0.9444444444444444,0.25138888888888933,0.2450000000000004,0.2450000000000004,0.0,0.0
urban_nlos,5.0,held_out,held_out,actionable_deadline_miss_rate,9,flooding,flooding,False,0.6111111111111112,0.08548901639287364,0.5651747131647563,0.5651747131647563,0.0,0.0
urban_nlos,5.0,held_out,train,tx_per_at_risk_informed,9,counter_based,p_persistence_03,True,,inf,inf,0.5919148262176183,inf,
urban_nlos,5.0,held_out,train,rwcr,9,flooding,flooding,False,0.7777777777777778,0.9188909859505141,0.43415164548024315,0.43415164548024315,0.0,0.0
urban_nlos,5.0,held_out,train,tir_median_s,9,flooding,p_persistence_03,True,0.7222222222222222,0.3052631578947375,0.4050000000000004,0.25000000000000033,0.15500000000000008,0.38271604938271586
urban_nlos,5.0,held_out,train,actionable_deadline_miss_rate,9,flooding,flooding,False,0.9444444444444444,0.12983169608736253,0.5743681605300568,0.5743681605300568,0.0,0.0
urban_nlos,5.0,train,held_out,tx_per_at_risk_informed,9,p_persistence_03,p_persistence_03,False,0.8333333333333334,0.622184264274092,0.7327058234904344,0.7327058234904344,0.0,0.0
urban_nlos,5.0,train,held_out,rwcr,9,flooding,flooding,False,0.6666666666666666,0.9654883711263766,0.44825079473255935,0.44825079473255935,0.0,0.0
urban_nlos,5.0,train,held_out,tir_median_s,9,p_persistence_03,p_persistence_03,False,0.9444444444444444,0.27363636363636407,0.31333333333333374,0.31333333333333374,0.0,0.0
urban_nlos,5.0,train,held_out,actionable_deadline_miss_rate,9,flooding,flooding,False,0.6666666666666666,0.08926276629639072,0.5644607274312275,0.5644607274312275,0.0,0.0
urban_nlos,5.0,train,train,tx_per_at_risk_informed,9,counter_based,p_persistence_05,True,,inf,inf,1.0134220123187279,inf,
urban_nlos,5.0,train,train,rwcr,9,flooding,flooding,False,0.6666666666666666,0.9191416781262618,0.4422698128404386,0.4422698128404386,0.0,0.0
urban_nlos,5.0,train,train,tir_median_s,9,flooding,p_persistence_03,True,0.8333333333333334,0.30438596491228137,0.4333333333333337,0.25423728813559354,0.17909604519774014,0.41329856584093844
urban_nlos,5.0,train,train,actionable_deadline_miss_rate,9,flooding,flooding,False,0.7777777777777778,0.1301301376645338,0.5713461975685624,0.5713461975685624,0.0,0.0
